value,gesture
-3;0;10;0;-2;0;-1;-19;13;-3;-1;-1;-1;0;3;25;-15;-10;8;5;-1;-2;-5;-12;-1;13;-4;-3;-1;0;0;-1;-2;-4;4;5;0;0;-1;-4;-3;5;1;-1;0;1;0;-2;4;-5;3;0;-1;0;-1;3;1;-1;8;-4;-1;-2;-1;7;,0
-2;-4;4;5;0;0;-1;-4;-3;5;1;-1;0;1;0;-2;4;-5;3;0;-1;0;-1;3;1;-1;8;-4;-1;-2;-1;7;-5;17;-15;-2;-2;0;-1;-8;-2;5;-1;-1;0;-2;0;-4;5;2;2;-1;-2;-1;2;5;-8;2;-6;-3;-4;-1;-3;-6;,0
4;-5;3;0;-1;0;-1;3;1;-1;8;-4;-1;-2;-1;7;-5;17;-15;-2;-2;0;-1;-8;-2;5;-1;-1;0;-2;0;-4;5;2;2;-1;-2;-1;2;5;-8;2;-6;-3;-4;-1;-3;-6;3;-3;9;1;0;0;0;8;-5;-9;-9;-3;-2;-1;-1;-6;,0
-5;17;-15;-2;-2;0;-1;-8;-2;5;-1;-1;0;-2;0;-4;5;2;2;-1;-2;-1;2;5;-8;2;-6;-3;-4;-1;-3;-6;3;-3;9;1;0;0;0;8;-5;-9;-9;-3;-2;-1;-1;-6;2;-10;-10;-5;0;-2;-2;-4;0;-6;-5;-1;0;0;-1;-3;,0
5;2;2;-1;-2;-1;2;5;-8;2;-6;-3;-4;-1;-3;-6;3;-3;9;1;0;0;0;8;-5;-9;-9;-3;-2;-1;-1;-6;2;-10;-10;-5;0;-2;-2;-4;0;-6;-5;-1;0;0;-1;-3;0;-14;4;-1;-1;-1;-1;3;-1;-2;1;-4;0;-1;0;-8;,0
3;-3;9;1;0;0;0;8;-5;-9;-9;-3;-2;-1;-1;-6;2;-10;-10;-5;0;-2;-2;-4;0;-6;-5;-1;0;0;-1;-3;0;-14;4;-1;-1;-1;-1;3;-1;-2;1;-4;0;-1;0;-8;-6;-9;-2;0;-3;-2;-3;-2;1;1;-19;-4;-3;-1;-1;-6;,0
0;-14;4;-1;-1;-1;-1;3;-1;-2;1;-4;0;-1;0;-8;-6;-9;-2;0;-3;-2;-3;-2;1;1;-19;-4;-3;-1;-1;-6;-5;0;20;1;0;0;3;5;0;6;11;2;0;-2;-2;-7;-3;0;4;0;1;0;-1;0;1;17;-14;-3;-3;-2;-1;-7;,0
-6;-9;-2;0;-3;-2;-3;-2;1;1;-19;-4;-3;-1;-1;-6;-5;0;20;1;0;0;3;5;0;6;11;2;0;-2;-2;-7;-3;0;4;0;1;0;-1;0;1;17;-14;-3;-3;-2;-1;-7;1;2;-6;-2;-1;-1;-2;3;-2;-3;2;1;-1;-1;0;-1;,0
-3;0;4;0;1;0;-1;0;1;17;-14;-3;-3;-2;-1;-7;1;2;-6;-2;-1;-1;-2;3;-2;-3;2;1;-1;-1;0;-1;3;17;3;1;0;0;2;17;-4;-12;1;1;-1;0;-2;-44;0;-4;-5;-5;-2;-1;-2;0;3;10;9;3;-1;0;-1;3;,0
-3;0;4;0;1;0;-1;0;1;17;-14;-3;-3;-2;-1;-7;1;2;-6;-2;-1;-1;-2;3;-2;-3;2;1;-1;-1;0;-1;3;17;3;1;0;0;2;17;-4;-12;1;1;-1;0;-2;-44;0;-4;-5;-5;-2;-1;-2;0;3;10;9;3;-1;0;-1;3;,0
3;17;3;1;0;0;2;17;-4;-12;1;1;-1;0;-2;-44;0;-4;-5;-5;-2;-1;-2;0;3;10;9;3;-1;0;-1;3;-1;23;-20;-4;-3;-2;-3;-6;3;0;11;2;-1;0;3;18;4;1;-1;-2;-1;-2;-1;2;-3;-19;-13;-6;-1;2;-3;-9;,0
0;-4;-5;-5;-2;-1;-2;0;3;10;9;3;-1;0;-1;3;-1;23;-20;-4;-3;-2;-3;-6;3;0;11;2;-1;0;3;18;4;1;-1;-2;-1;-2;-1;2;-3;-19;-13;-6;-1;2;-3;-9;-6;-2;21;12;0;-1;0;5;0;-7;-7;-5;-1;-3;-1;4;,0
-1;23;-20;-4;-3;-2;-3;-6;3;0;11;2;-1;0;3;18;4;1;-1;-2;-1;-2;-1;2;-3;-19;-13;-6;-1;2;-3;-9;-6;-2;21;12;0;-1;0;5;0;-7;-7;-5;-1;-3;-1;4;2;23;1;0;-1;-1;-2;-5;-4;4;7;6;-1;-1;-1;9;,0
-1;23;-20;-4;-3;-2;-3;-6;3;0;11;2;-1;0;3;18;4;1;-1;-2;-1;-2;-1;2;-3;-19;-13;-6;-1;2;-3;-9;-6;-2;21;12;0;-1;0;5;0;-7;-7;-5;-1;-3;-1;4;2;23;1;0;-1;-1;-2;-5;-4;4;7;6;-1;-1;-1;9;,0
-6;-2;21;12;0;-1;0;5;0;-7;-7;-5;-1;-3;-1;4;2;23;1;0;-1;-1;-2;-5;-4;4;7;6;-1;-1;-1;9;-2;-11;-18;-6;-1;-1;-2;-8;-2;-3;16;3;1;0;-1;4;-4;-7;-14;-4;-1;-1;-1;-5;3;-7;-9;1;0;-1;0;2;,0
-2;-11;-18;-6;-1;-1;-2;-8;-2;-3;16;3;1;0;-1;4;-4;-7;-14;-4;-1;-1;-1;-5;3;-7;-9;1;0;-1;0;2;3;9;51;12;2;-1;0;-2;-9;10;-74;-20;-3;-1;-2;-3;-1;0;3;-4;-2;-1;3;18;-5;-1;-2;-5;-1;-1;-3;-24;,0
-4;-7;-14;-4;-1;-1;-1;-5;3;-7;-9;1;0;-1;0;2;3;9;51;12;2;-1;0;-2;-9;10;-74;-20;-3;-1;-2;-3;-1;0;3;-4;-2;-1;3;18;-5;-1;-2;-5;-1;-1;-3;-24;0;1;19;3;-3;-1;-3;-4;3;7;17;8;1;0;0;5;,0
3;9;51;12;2;-1;0;-2;-9;10;-74;-20;-3;-1;-2;-3;-1;0;3;-4;-2;-1;3;18;-5;-1;-2;-5;-1;-1;-3;-24;0;1;19;3;-3;-1;-3;-4;3;7;17;8;1;0;0;5;-3;-21;-1;1;0;-2;-1;-3;-2;3;-6;2;0;-3;-2;2;,0
0;1;19;3;-3;-1;-3;-4;3;7;17;8;1;0;0;5;-3;-21;-1;1;0;-2;-1;-3;-2;3;-6;2;0;-3;-2;2;-1;12;-18;-7;-1;0;-1;-4;-3;-7;20;3;-1;0;0;2;1;1;-14;-7;-1;0;-3;0;-2;-2;-4;1;-2;-2;-1;-2;,0
0;1;19;3;-3;-1;-3;-4;3;7;17;8;1;0;0;5;-3;-21;-1;1;0;-2;-1;-3;-2;3;-6;2;0;-3;-2;2;-1;12;-18;-7;-1;0;-1;-4;-3;-7;20;3;-1;0;0;2;1;1;-14;-7;-1;0;-3;0;-2;-2;-4;1;-2;-2;-1;-2;,0
-1;12;-18;-7;-1;0;-1;-4;-3;-7;20;3;-1;0;0;2;1;1;-14;-7;-1;0;-3;0;-2;-2;-4;1;-2;-2;-1;-2;4;-7;-8;-4;-1;-1;0;2;-8;20;3;-4;0;0;1;0;-3;-1;22;12;-1;-2;-2;-6;-1;0;38;10;-1;1;-2;1;,0
1;1;-14;-7;-1;0;-3;0;-2;-2;-4;1;-2;-2;-1;-2;4;-7;-8;-4;-1;-1;0;2;-8;20;3;-4;0;0;1;0;-3;-1;22;12;-1;-2;-2;-6;-1;0;38;10;-1;1;-2;1;-3;-13;-80;-21;-3;-2;-1;7;3;-11;13;6;0;-2;-5;-4;,0
-3;-1;22;12;-1;-2;-2;-6;-1;0;38;10;-1;1;-2;1;-3;-13;-80;-21;-3;-2;-1;7;3;-11;13;6;0;-2;-5;-4;17;11;9;-4;0;0;0;5;-15;8;-17;-2;-1;-5;-6;-12;0;-5;18;-2;-1;0;0;5;2;-5;4;-1;1;-1;0;2;,0
-3;-13;-80;-21;-3;-2;-1;7;3;-11;13;6;0;-2;-5;-4;17;11;9;-4;0;0;0;5;-15;8;-17;-2;-1;-5;-6;-12;0;-5;18;-2;-1;0;0;5;2;-5;4;-1;1;-1;0;2;-3;-15;-9;-3;0;0;0;-3;7;0;-16;-6;-2;0;0;9;,0
